"commodity","unharvested","ugly_blemished","retail","consumer"
"Almond",NA,NA,NA,0.21
"Apples",0.1,0.2,0.086,0.2
"Apricots",0.1,0.2,0.351,0.11
"Artichokes",0.1,0.2,NA,0
"Asparagus",0.1,0.2,NA,NA
"Avocados",0.1,0.2,0.093,0.32
"Barley",NA,NA,NA,NA
"Beans_Dry",NA,NA,NA,NA
"Beans_FM",0.1,NA,NA,NA
"Blueberries",0.1,0.2,0.052,0.2
"Broccoli",0.1,0.2,NA,NA
"Cabbage_FM",0.1,0.2,NA,NA
"Carrots_FM",0.1,0.2,NA,0.21
"Cauliflower",0.1,0.2,NA,NA
"Celery",0.1,0.2,NA,NA
"Cherries",0.1,0.2,0.039,0.51
"Corn_FM",0.1,0.2,NA,NA
"Cottonseed",NA,NA,NA,NA
"Cucumbers_FM",0.1,0.2,NA,NA
"Dates",0.1,0.2,0.06,0.25
"Figs",0.1,0.2,0.06,0.25
"Garlic",0.1,0.2,NA,NA
"Grain_Corn",NA,NA,NA,NA
"Grapefruit",0.1,0.2,0.128,0.2
"Grapes_Raisin",NA,NA,0.06,0.26
"Grapes_Table",0.1,0.2,0.076,0.33
"Grapes_Wine",NA,NA,0.06,0.1
"Hay",0,0,0,0
"Kiwifruit",0.1,0.2,0.127,0.45
"Lemons",0.1,0.2,0.07,0.44
"Lettuce",0.1,0.2,NA,NA
"Melons_Cantaloupe",0.1,0.2,0.122,0.43
"Melons_Honeydew",0.1,0.2,0.228,0.43
"Melons_Watermelon",0.1,0.2,0.168,0.13
"Mushroom",0.1,0.2,NA,NA
"Nectarines",0.1,0.2,NA,NA
"Oats",NA,NA,NA,NA
"Oil_Crops",NA,NA,NA,NA
"Olives",0.1,0.2,0.06,0.25
"Onions",0.1,0.2,NA,NA
"Oranges",0.1,0.2,0.116,0.36
"Peaches_Clingstone",0.1,0.2,0.06,0.09
"Peaches_Freestone",0.1,0.2,0.119,0.42
"Pears",0.1,0.2,0.176,0.2
"Pecans",NA,NA,NA,0.14
"Peppermint",NA,NA,NA,NA
"Peppers",0.1,0.2,NA,NA
"Pistachios",NA,NA,NA,NA
"Potatoes",0.1,0.2,NA,NA
"Potatoes_Sweet",0.1,0.2,NA,NA
"Pumpkins",0.1,0.2,NA,NA
"Raspberries",0.1,0.2,0.098,0.2
"Rice",NA,NA,NA,NA
"Spinach_FM",0.1,0.2,NA,NA
"Squash",0.1,0.2,NA,NA
"Sugar_Beets",NA,NA,NA,NA
"Tangerines_etc",0.1,0.2,0.204,0.52
"Tomatoes_FM",0.1,0.2,NA,NA
"Tomatoes_Proc",0.1,0.02,NA,NA
"Walnuts",NA,NA,NA,0.18
"Wheat",NA,NA,NA,NA
"Plums",0.1,0.2,0.173,0.27
"Plums_Dried",0.1,0.2,0.06,0.11
"Strawberries_FM",0.1,0.2,0.098,0.35
"Strawberries_Proc",0.1,0.1,NA,NA
"Spinach_Proc",0.1,0.1,NA,NA
